date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
1/1/2015,27,15,0,10.8,6,72,3:07 PM,3:36 AM,7:21 AM,6:05 PM,12,20,20,20,33,11,61,0.4,1011,27,10,62,20,ahmedabad
1/2/2015,25,14,0,10.9,6,80,3:55 PM,4:31 AM,7:21 AM,6:06 PM,12,19,20,19,26,6,65,0,1014,25,10,70,16,ahmedabad
1/3/2015,26,15,0,10.9,6,87,4:45 PM,5:26 AM,7:21 AM,6:07 PM,13,21,21,21,14,1,60,0,1015,26,10,90,9,ahmedabad
1/4/2015,27,16,0,10.9,6,94,5:37 PM,6:17 AM,7:22 AM,6:07 PM,9,21,21,22,22,0,46,0,1017,27,10,68,13,ahmedabad
1/5/2015,27,14,0,10.9,6,100,6:28 PM,7:07 AM,7:22 AM,6:08 PM,5,20,20,20,24,0,40,0,1017,27,10,65,14,ahmedabad
1/6/2015,28,12,0,10.9,6,100,7:21 PM,7:52 AM,7:22 AM,6:09 PM,5,22,22,22,12,0,33,0,1015,28,10,182,7,ahmedabad
1/7/2015,27,13,0,10.9,6,84,8:12 PM,8:35 AM,7:22 AM,6:09 PM,10,23,23,23,12,0,45,0,1015,27,10,308,7,ahmedabad
1/8/2015,28,15,0,10.9,6,77,9:02 PM,9:15 AM,7:22 AM,6:10 PM,10,23,23,23,16,0,49,0,1016,28,10,108,10,ahmedabad
1/9/2015,28,15,0,10.9,6,69,9:52 PM,9:52 AM,7:23 AM,6:11 PM,5,21,21,22,19,0,34,0,1017,28,10,77,11,ahmedabad
1/10/2015,28,14,0,10.9,6,62,10:40 PM,10:28 AM,7:23 AM,6:11 PM,6,22,22,23,12,0,34,0,1017,28,10,168,7,ahmedabad
1/11/2015,29,15,0,10.9,6,55,11:30 PM,11:03 AM,7:23 AM,6:12 PM,7,23,23,23,11,0,37,0,1017,29,10,194,6,ahmedabad
1/12/2015,29,14,0,10.9,6,48,No moonrise,11:39 AM,7:23 AM,6:13 PM,9,23,23,24,6,0,42,0,1016,29,10,144,4,ahmedabad
1/13/2015,30,15,0,10.9,6,40,12:19 AM,12:16 PM,7:23 AM,6:13 PM,11,24,24,24,11,0,45,0,1014,30,10,238,6,ahmedabad
1/14/2015,28,14,0,10.9,6,33,1:10 AM,12:55 PM,7:23 AM,6:14 PM,13,24,24,23,13,16,54,0,1014,28,10,239,7,ahmedabad
1/15/2015,27,17,0,10.9,6,26,2:03 AM,1:38 PM,7:23 AM,6:15 PM,5,21,21,21,28,8,35,0,1016,27,10,48,16,ahmedabad
1/16/2015,26,14,0,10.9,6,19,2:58 AM,2:24 PM,7:23 AM,6:15 PM,4,20,20,20,25,0,37,0,1017,26,10,43,14,ahmedabad
1/17/2015,26,13,0,10.9,6,11,3:55 AM,3:16 PM,7:23 AM,6:16 PM,2,19,19,19,28,0,34,0,1017,26,10,60,16,ahmedabad
1/18/2015,26,13,0,10.9,6,4,4:53 AM,4:12 PM,7:23 AM,6:17 PM,1,19,20,19,24,0,29,0,1016,26,10,54,13,ahmedabad
1/19/2015,28,14,0,11,6,0,5:51 AM,5:14 PM,7:23 AM,6:18 PM,6,21,21,21,24,3,37,0,1015,28,10,76,13,ahmedabad
1/20/2015,29,17,0,11,6,0,6:47 AM,6:17 PM,7:23 AM,6:18 PM,7,21,21,22,26,8,40,0,1015,29,10,146,15,ahmedabad
1/21/2015,28,16,0,11,5,3,7:42 AM,7:23 PM,7:23 AM,6:19 PM,14,23,23,22,15,33,61,0.3,1017,28,10,163,9,ahmedabad
1/22/2015,26,18,0,10.1,5,10,8:32 AM,8:27 PM,7:22 AM,6:20 PM,14,22,22,22,13,37,63,3.1,1018,26,9,283,8,ahmedabad
1/23/2015,26,15,0,11,6,18,9:20 AM,9:31 PM,7:22 AM,6:20 PM,10,22,22,22,15,2,49,0,1017,26,10,38,10,ahmedabad
1/24/2015,26,15,0,11,6,25,10:06 AM,10:33 PM,7:22 AM,6:21 PM,10,21,21,21,25,7,51,0,1017,26,10,127,15,ahmedabad
1/25/2015,27,18,0,10.1,6,32,10:51 AM,11:34 PM,7:22 AM,6:22 PM,8,21,21,22,26,30,44,0,1017,27,10,172,15,ahmedabad
1/26/2015,26,14,0,11,6,39,11:35 AM,No moonset,7:22 AM,6:23 PM,6,21,20,21,19,1,41,0,1017,26,10,147,12,ahmedabad
1/27/2015,25,14,0,11,6,47,12:20 PM,12:33 AM,7:21 AM,6:23 PM,4,20,20,20,21,0,36,0,1017,25,10,25,12,ahmedabad
1/28/2015,25,14,0,11,6,54,1:06 PM,1:31 AM,7:21 AM,6:24 PM,3,19,19,19,25,1,37,0,1016,25,10,37,15,ahmedabad
1/29/2015,26,13,0,11,6,61,1:53 PM,2:27 AM,7:21 AM,6:25 PM,0,19,19,19,26,0,29,0,1017,26,10,57,15,ahmedabad
1/30/2015,27,14,0,11.1,6,69,2:42 PM,3:22 AM,7:20 AM,6:25 PM,0,20,20,20,26,0,28,0,1019,27,10,72,15,ahmedabad
1/31/2015,29,15,0,11.1,6,72,3:33 PM,4:13 AM,7:20 AM,6:26 PM,2,22,22,23,17,0,26,0,1016,29,10,55,9,ahmedabad
2/1/2015,31,17,0,11.1,7,86,4:23 PM,5:03 AM,7:20 AM,6:27 PM,3,23,23,24,17,0,27,0,1014,31,10,183,10,ahmedabad
2/2/2015,30,16,0,11.1,7,94,5:15 PM,5:49 AM,7:19 AM,6:27 PM,12,26,26,25,10,0,44,0,1015,30,10,247,7,ahmedabad
2/3/2015,30,17,0,11.1,7,100,6:06 PM,6:32 AM,7:19 AM,6:28 PM,14,26,26,26,13,0,52,0,1018,30,10,164,8,ahmedabad
2/4/2015,30,18,0,11.1,7,100,6:56 PM,7:13 AM,7:18 AM,6:29 PM,6,23,23,23,33,1,33,0,1019,30,10,67,19,ahmedabad
2/5/2015,30,18,0,11.1,7,84,7:46 PM,7:52 AM,7:18 AM,6:29 PM,4,24,24,24,26,3,27,0,1017,30,10,66,15,ahmedabad
2/6/2015,31,18,0,11.1,7,76,8:35 PM,8:28 AM,7:18 AM,6:30 PM,7,24,24,25,24,9,34,0,1015,31,10,182,13,ahmedabad
2/7/2015,31,17,0,11.1,7,69,9:24 PM,9:04 AM,7:17 AM,6:30 PM,2,25,25,25,17,1,24,0,1014,31,10,243,10,ahmedabad
2/8/2015,30,18,0,11.1,7,61,10:13 PM,9:39 AM,7:17 AM,6:31 PM,3,24,24,25,20,0,26,0,1015,30,10,324,12,ahmedabad
